Code,Communes,Part_des_menages
02599,Pierremande,4.4
02600,Pierrepont,2.6
02601,Pignicourt,6.7
02602,Pinon,6.5
02604,Pithon,11.1
02605,Pleine-Selve,0
02606,Le Plessier-Huleu,0
02607,Ploisy,0
02608,Plomion,7.5
02609,Ployart-et-Vaurseine,0
02610,Pommiers,7.7
02612,Pont-Arcy,0
02613,Pontavert,3.5
02614,Pontru,7.4
02615,Pontruet,6.1
02616,Pont-Saint-Mard,10.5
02617,Pouilly-sur-Serre,6.1
02618,Prémont,7
02619,Prémontré,15.3
02620,Presles-et-Boves,0
02621,Presles-et-Thierny,2.4
02622,Priez,0
02623,Prisces,18.2
02624,Proisy,0
02625,Proix,0
02626,Prouvais,3.6
02627,Proviseux-et-Plesnoy,0
02628,Puiseux-en-Retz,0
02629,Puisieux-et-Clanlieu,25
02631,Quierzy,2.4
02632,Quincy-Basse,14.3
02633,Quincy-sous-le-Mont,0
02634,Raillimont,12.5
02635,Ramicourt,6.3
02636,Regny,13.6
02637,Remaucourt,3
02638,Remies,16
02639,Remigny,2.8
02640,Renansart,5.9
02641,Renneval,7.7
02642,Résigny,0
02643,Ressons-le-Long,6.7
02644,Retheuil,8.3
02645,Reuilly-Sauvigny,4.8
02646,Révillon,16.7
02647,Ribeauville,12.5
02648,Ribemont,11.7
02649,Rocourt-Saint-Martin,16.7
02650,Rocquigny,7.1
02651,Rogécourt,18.2
02652,Rogny,0
02653,Romeny-sur-Marne,4.1
02654,Romery,0
02655,Ronchères,14.3
02656,Roucy,10.8
02657,Rougeries,9.5
02658,Roupy,4
02659,Rouvroy,4.1
02660,Rouvroy-sur-Serre,0
02661,Royaucourt-et-Chailvet,0
02662,Rozet-Saint-Albin,3.1
02663,Rozières-sur-Crise,30
02664,Rozoy-Bellevalle,30
02665,Grand-Rozoy,10.3
02666,Rozoy-sur-Serre,13.3
02667,Saconin-et-Breuil,16.7
02668,Sains-Richaumont,12.6
02669,Saint-Agnan,0
02670,Saint-Algis,17.6
02671,Saint-Aubin,11.1
02672,Saint-Bandry,8
02673,Saint-Christophe-à-Berry,4.8
02674,Saint-Clément,16.7
02675,Sainte-Croix,15.4
02676,Saint-Erme-Outre-et-Ramecourt,6.7
02677,Saint-Eugène,0
02678,Sainte-Geneviève,0
02679,Saint-Gengoulph,0
02680,Saint-Gobain,6.2
02681,Saint-Gobert,4.3
02682,Saint-Mard,0
02683,Saint-Martin-Rivière,7.7
02684,Saint-Michel,9.3
02685,Saint-Nicolas-aux-Bois,0
02686,Saint-Paul-aux-Bois,0
02687,Saint-Pierre-Aigle,6.1
02688,Saint-Pierre-lès-Franqueville,0
02689,Saint-Pierremont,0
02690,Sainte-Preuve,0
02691,Saint-Quentin,12.3
02693,Saint-Rémy-Blanzy,4.3
02694,Saint-Simon,1.6
02695,Saint-Thibaut,0
02696,Saint-Thomas,11.1
02697,Samoussy,6.7
02698,Sancy-les-Cheminots,14.3
02699,Saponay,0
02701,Saulchery,7
02702,Savy,6.6
02703,Seboncourt,8.7
02704,Selens,16.7
02705,La Selve,5.9
02706,Septmonts,13.6
02707,Septvaux,11.1
02708,Sequehart,0
02709,Serain,11.9
02710,Seraucourt-le-Grand,8.3
02711,Serches,3.7
02712,Sergy,8.3
02713,Seringes-et-Nesles,0
02714,Sermoise,8.8
02715,Serval,0
02716,Servais,0
02717,Séry-lès-Mézières,4.9
02718,Silly-la-Poterie,14.3
02719,Sinceny,7.9
02720,Sissonne,14.9
02721,Sissy,6
02722,Soissons,10.7
02723,Soize,0
02724,Sommelans,0
02725,Sommeron,15.4
02726,Sommette-Eaucourt,0
02727,Sons-et-Ronchères,3.7
02728,Sorbais,10
02729,Soucy,0
02730,Soupir,10.3
02731,Le Sourd,5.9
02732,Surfontaine,11.1
02733,Suzy,10
02734,Taillefontaine,0
02735,Tannières,0
02736,Tartiers,0
02737,Tavaux-et-Pontséricourt,4.1
