code_com,code_dept,commune,part_des_menages
59616,59,Vieux-Condé,11.5
59617,59,Vieux-Mesnil,6.5
59618,59,Vieux-Reng,5.1
59619,59,Villereau,5.6
59620,59,Villers-au-Tertre,6.8
59622,59,Villers-en-Cauchies,10.1
59623,59,Villers-Guislain,4.2
59624,59,Villers-Outréaux,6.1
59625,59,Villers-Plouich,4.9
59626,59,Villers-Pol,5.5
59627,59,Villers-Sire-Nicole,6.8
59628,59,Volckerinckhove,5.7
59629,59,Vred,8.4
59630,59,Wahagnies,9.5
59631,59,Walincourt-Selvigny,12.9
59632,59,Wallers,9.5
59633,59,Wallers-en-Fagne,0.0
59634,59,Wallon-Cappel,4.9
59635,59,Wambaix,0.0
59636,59,Wambrechies,8.8
59637,59,Wandignies-Hamage,5.7
59638,59,Wannehain,8.2
59639,59,Wargnies-le-Grand,8.7
59640,59,Wargnies-le-Petit,6.6
59641,59,Warhem,2.6
59642,59,Warlaing,6.4
59643,59,Warneton,5.0
59645,59,Wasnes-au-Bac,5.6
59646,59,Wasquehal,10.4
59647,59,Watten,10.3
59648,59,Wattignies,10.5
59649,59,Wattignies-la-Victoire,0.0
59650,59,Wattrelos,11.9
59651,59,Wavrechain-sous-Denain,12.7
59652,59,Wavrechain-sous-Faulx,7.9
59653,59,Wavrin,11.6
59654,59,Waziers,12.7
59655,59,Wemaers-Cappel,9.5
59656,59,Wervicq-Sud,8.7
59657,59,West-Cappel,11.8
59658,59,Wicres,0.0
59659,59,Wignehies,12.2
59660,59,Willems,8.3
59661,59,Willies,7.8
59662,59,Winnezeele,5.4
59663,59,Wormhout,5.1
59664,59,Wulverdinghe,3.7
59665,59,Wylder,3.8
59666,59,Zegerscappel,4.5
59667,59,Zermezeele,10.0
59668,59,Zuydcoote,10.3
59669,59,Zuytpeene,4.3
59670,59,Don,11.0
60001,60,Abancourt,6.2
60002,60,Abbecourt,3.3
60003,60,Abbeville-Saint-Lucien,2.6
60004,60,Achy,5.3
60005,60,Acy-en-Multien,3.8
60006,60,Les Ageux,6.5
60007,60,Agnetz,7.6
60008,60,Airion,7.3
60009,60,Allonne,5.5
60010,60,Amblainville,4.9
60011,60,Amy,8.3
60012,60,Andeville,9.1
60013,60,Angicourt,4.1
60014,60,Angivillers,11.1
60015,60,Angy,6.8
60016,60,Ansacq,3.7
60017,60,Ansauvillers,8.6
60018,60,Anserville,4.5
60019,60,Antheuil-Portes,5.1
60020,60,Antilly,9.5
60021,60,Appilly,4.1
60022,60,Apremont,5.4
60023,60,Armancourt,1.9
60024,60,Arsy,6.3
60025,60,Attichy,9.8
60026,60,Auchy-la-Montagne,0.0
60027,60,Auger-Saint-Vincent,0.0
60028,60,Aumont-en-Halatte,13.5
60029,60,Auneuil,10.4
60030,60,Auteuil,1.9
60031,60,Autheuil-en-Valois,0.0
60032,60,Autrêches,2.9
60033,60,Avilly-Saint-Léonard,5.5
60034,60,Avrechy,6.6
60035,60,Avricourt,8.3
60036,60,Avrigny,6.1
60037,60,Babœuf,16.7
60038,60,Bachivillers,2.5
60039,60,Bacouël,4.3
60040,60,Bailleul-le-Soc,8.2
60041,60,Bailleul-sur-Thérain,12.8
60042,60,Bailleval,7.8
60043,60,Bailly,4.8
60044,60,Balagny-sur-Thérain,7.4
60045,60,Barbery,7.5
60046,60,Bargny,11.5
60047,60,Baron,3.8
60048,60,Baugy,6.9
60049,60,Bazancourt,7.7
60050,60,Bazicourt,3.1
60051,60,Beaudéduit,12.5
60052,60,Beaugies-sous-Bois,0.0
60053,60,Beaulieu-les-Fontaines,10.0
60054,60,Beaumont-les-Nonains,5.7
60055,60,Beaurains-lès-Noyon,10.0
60056,60,Beaurepaire,0.0
60057,60,Beauvais,13.4
60058,60,Beauvoir,16.0
60059,60,Béhéricourt,4.3
60060,60,Belle-Église,5.4
60061,60,Belloy,0.0
60062,60,Berlancourt,4.2
60063,60,Berneuil-en-Bray,6.6
60064,60,Berneuil-sur-Aisne,4.3
60065,60,Berthecourt,11.6
60066,60,Béthancourt-en-Valois,4.2
60067,60,Béthisy-Saint-Martin,6.5
60068,60,Béthisy-Saint-Pierre,10.8
60069,60,Betz,3.6
60070,60,Bienville,3.2
60071,60,Biermont,0.0
60072,60,Bitry,3.6
60073,60,Blacourt,1.9
60074,60,Blaincourt-lès-Précy,7.7
60075,60,Blancfossé,0.0
60076,60,Blargies,6.3
60077,60,Blicourt,0.0
60078,60,Blincourt,8.3
60079,60,Boissy-Fresnoy,9.5
60080,60,Boissy-le-Bois,0.0
60081,60,Bonlier,5.4
60082,60,Bonneuil-les-Eaux,5.1
60083,60,Bonneuil-en-Valois,7.7
60084,60,Bonnières,6.3
60085,60,Bonvillers,15.8
60086,60,Boran-sur-Oise,9.8
60087,60,Borest,8.8
60088,60,Bornel,10.4
